"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.100.5","192.168.100.1","DNS","91","Standard query 0x850f AAAA signaler-pa.clients6.google.com"
"2","0.015559912","192.168.100.1","192.168.100.5","DNS","171","Standard query response 0x850f AAAA signaler-pa.clients6.google.com A 216.239.32.10 A 216.239.38.10 A 216.239.36.10 A 216.239.34.10"
"3","8.059306409","HuaweiTechno_12:58:27","Broadcast","ARP","60","Who has 192.168.100.4? Tell 192.168.100.1"
"4","10.240747847","192.168.100.5","192.168.100.1","DNS","89","Standard query 0x365a AAAA connectivity-check.ubuntu.com"
"5","10.259419549","192.168.100.1","192.168.100.5","DNS","159","Standard query response 0x365a AAAA connectivity-check.ubuntu.com A 185.125.190.65 A 185.125.190.66 A 91.189.91.139"
"6","10.265924016","192.168.100.5","192.168.100.1","DNS","89","Standard query 0x3f62 A connectivity-check.ubuntu.com"
"7","10.267365869","192.168.100.5","192.168.100.1","DNS","89","Standard query 0xdad4 AAAA connectivity-check.ubuntu.com"
"8","10.286545213","192.168.100.1","192.168.100.5","DNS","393","Standard query response 0x3f62 A connectivity-check.ubuntu.com A 91.189.91.97 A 185.125.190.18 A 185.125.190.97 A 185.125.190.96 A 185.125.190.49 A 91.189.91.48 A 185.125.190.98 A 91.189.91.98 A 91.189.91.96 A 185.125.190.17 A 185.125.190.48 A 91.189.91.49 NS ns1.canonical.com NS ns3.canonical.com NS ns2.canonical.com A 185.125.190.65 A 185.125.190.66 A 91.189.91.139"
"9","10.286545503","192.168.100.1","192.168.100.5","DNS","159","Standard query response 0xdad4 AAAA connectivity-check.ubuntu.com A 185.125.190.65 A 185.125.190.66 A 91.189.91.139"
"10","12.032941544","192.168.100.5","192.168.100.1","DNS","89","Standard query 0xd0e3 AAAA connectivity-check.ubuntu.com"
"11","12.050461788","192.168.100.1","192.168.100.5","DNS","159","Standard query response 0xd0e3 AAAA connectivity-check.ubuntu.com A 185.125.190.65 A 185.125.190.66 A 91.189.91.139"
"12","12.061916464","192.168.100.5","192.168.100.1","DNS","89","Standard query 0x2c50 AAAA connectivity-check.ubuntu.com"
"13","12.077773118","192.168.100.1","192.168.100.5","DNS","159","Standard query response 0x2c50 AAAA connectivity-check.ubuntu.com A 185.125.190.65 A 185.125.190.66 A 91.189.91.139"
"14","20.553280776","192.168.100.5","192.168.100.1","DNS","75","Standard query 0x35e9 A play.google.com"
"15","20.556082000","192.168.100.5","192.168.100.1","DNS","75","Standard query 0x23b4 AAAA play.google.com"
